name,ticker,url,cmp,market_cap,latest_quarter,prev_quarter,is_fresh,promoter_prev,promoter_latest,promoter_change,fii_prev,fii_latest,fii_change,dii_prev,dii_latest,dii_change,government_prev,government_latest,government_change,public_prev,public_latest,public_change,shareholders_prev,shareholders_latest,shareholders_change
MIC Electronics,MICEL,/company/MICEL/consolidated/,34.71,1029.72,Sep 2026,Jun 2026,True,51.58,41.73,-9.85,5.58,20.36,14.78,,,,,,,42.84,37.92,-4.92,219167.0,214987.0,-4180.0
Neogen Chemicals,NEOGEN,/company/NEOGEN/consolidated/,2392.10,7174.98,Sep 2026,Jun 2026,True,53.0,48.31,-4.69,4.11,4.51,0.4,19.6,23.43,3.83,,,,23.27,23.75,0.48,61988.0,68410.0,6422.0
Iris Clothings,IRISDOREME,/company/IRISDOREME/,66.26,1261.14,Sep 2026,Jun 2026,True,61.17,58.79,-2.38,0.0,0.2,0.2,0.74,2.56,1.82,,,,38.09,38.45,0.36,10427.0,10349.0,-78.0
Pearl Global Ind,PGIL,/company/PGIL/consolidated/,1300.80,12020.46,Sep 2026,Jun 2026,True,61.11,59.91,-1.2,6.82,6.76,-0.06,19.16,20.12,0.96,,,,12.91,13.19,0.28,30518.0,42398.0,11880.0
Gretex Corporate,GCSL,/company/GCSL/consolidated/,642.70,1608.98,Sep 2026,Jun 2026,True,61.64,60.53,-1.11,1.99,2.49,0.5,0.0,0.0,0.0,,,,36.36,36.97,0.61,2842.0,2981.0,139.0
M B Agro Prod.,MBAPL,/company/MBAPL/,167.51,7339.20,Sep 2026,Jun 2026,True,74.76,71.38,-3.38,0.67,1.03,0.36,0.01,0.07,0.06,,,,24.57,27.52,2.95,12260.0,15993.0,3733.0
HEG Advanced Materials,HEGAM,/company/HEGAM/consolidated/,237.30,4575.43,Sep 2026,Jun 2026,True,56.27,60.72,4.45,8.47,5.29,-3.18,9.27,12.77,3.5,,,,25.97,21.21,-4.76,139601.0,134276.0,-5325.0
Gandhi Spl. Tube,GANDHITUBE,/company/GANDHITUBE/,995.05,1123.81,Sep 2026,Jun 2026,True,73.52,71.7,-1.82,1.23,1.32,0.09,0.05,0.02,-0.03,,,,25.2,26.96,1.76,13841.0,12278.0,-1563.0
Wheels India,WHEELS,/company/WHEELS/consolidated/,2240.30,5465.43,Sep 2026,Jun 2026,True,58.31,59.51,1.2,1.98,1.9,-0.08,6.39,5.38,-1.01,,,,33.32,33.21,-0.11,29271.0,30013.0,742.0
Gabriel India,GABRIEL,/company/GABRIEL/consolidated/,1428.10,25323.99,Sep 2026,Jun 2026,True,63.55,66.29,2.74,6.35,6.0,-0.35,12.92,11.91,-1.01,,,,17.17,15.8,-1.37,134530.0,136534.0,2004.0
Guj. Themis Bio.,GUJTHEM,/company/GUJTHEM/,410.75,5344.68,Aug 2026,Jun 2026,True,70.87,59.33,-11.54,1.76,4.93,3.17,1.17,13.79,12.62,,,,26.18,21.95,-4.23,27010.0,26899.0,-111.0
P N Gadgil Jewe.,PNGJL,/company/PNGJL/consolidated/,605.00,8907.99,Aug 2026,Jun 2026,True,83.11,76.62,-6.49,0.48,4.73,4.25,4.76,7.88,3.12,,,,11.64,10.78,-0.86,153617.0,151408.0,-2209.0
Virtuoso Optoel.,VOEPL,/company/VOEPL/,515.10,1759.46,Aug 2026,Jun 2026,True,49.74,46.22,-3.52,11.29,17.66,6.37,0.79,1.03,0.24,,,,38.19,35.1,-3.09,4261.0,5945.0,1684.0
Globus Spirits,GLOBUSSPR,/company/GLOBUSSPR/consolidated/,829.10,2607.03,Aug 2026,Jun 2026,True,50.56,46.74,-3.82,7.46,13.77,6.31,10.56,10.46,-0.1,,,,31.41,29.02,-2.39,69278.0,70001.0,723.0
SPR Auto Technologies,SHRIPISTON,/company/SHRIPISTON/consolidated/,4489.80,20835.51,Aug 2026,Jun 2026,True,43.75,41.55,-2.2,8.21,8.39,0.18,12.16,16.0,3.84,,,,35.86,34.05,-1.81,54998.0,58035.0,3037.0
Sindhu Trade,SINDHUTRAD,/company/SINDHUTRAD/consolidated/,23.96,3689.87,Aug 2026,Jun 2026,True,74.97,73.93,-1.04,3.18,6.43,3.25,0.0,0.0,0.0,,,,21.86,19.64,-2.22,39749.0,39041.0,-708.0
Bhagyanagar Ind,BHAGYANGR,/company/BHAGYANGR/consolidated/,444.65,1485.59,Aug 2026,Jun 2026,True,64.91,65.8,0.89,0.86,2.15,1.29,0.2,2.08,1.88,0.0,0.0,0.0,34.04,29.98,-4.06,30946.0,31751.0,805.0
Shanti Gold,SHANTIGOLD,/company/SHANTIGOLD/,288.07,2211.41,Aug 2026,Jun 2026,True,74.89,70.35,-4.54,1.92,4.63,2.71,1.58,1.8,0.22,,,,21.62,23.21,1.59,30274.0,33627.0,3353.0
Knowledge Marine,KMEW,/company/KMEW/consolidated/,2996.60,7600.68,Aug 2026,Jun 2026,True,51.56,49.99,-1.57,12.12,12.64,0.52,1.54,3.9,2.36,,,,34.79,33.46,-1.33,22941.0,23571.0,630.0
Piramal Finance.,PIRAMALFIN,/company/PIRAMALFIN/consolidated/,2226.50,52672.61,Aug 2026,Jun 2026,True,46.16,44.22,-1.94,15.45,15.72,0.27,18.63,21.21,2.58,,,,19.54,18.64,-0.9,197926.0,195055.0,-2871.0
Apar Inds.,APARINDS,/company/APARINDS/consolidated/,17876.00,74824.93,Aug 2026,Jun 2026,True,57.76,55.42,-2.34,10.76,11.36,0.6,23.02,24.88,1.86,,,,8.47,8.34,-0.13,95279.0,97938.0,2659.0
Nazara Technolo.,NAZARA,/company/NAZARA/consolidated/,372.70,14300.21,Aug 2026,Jun 2026,True,34.25,33.98,-0.27,13.23,15.51,2.28,2.39,2.47,0.08,,,,50.13,48.04,-2.09,101367.0,100544.0,-823.0
Arvind Ltd,ARVIND,/company/ARVIND/consolidated/,548.25,14863.09,Aug 2026,Jun 2026,True,39.53,38.09,-1.44,16.44,15.88,-0.56,19.88,22.78,2.9,,,,24.14,23.26,-0.88,181012.0,181024.0,12.0
Krishival Foods,KRISHIVAL,/company/KRISHIVAL/consolidated/,417.35,1187.14,Aug 2026,Jun 2026,True,37.23,37.23,0.0,0.47,0.47,0.0,1.45,3.01,1.56,9.5,9.5,0.0,51.36,49.78,-1.58,2099.0,2046.0,-53.0
Optiemus Infra.,OPTIEMUS,/company/OPTIEMUS/consolidated/,828.35,7474.21,Aug 2026,Jun 2026,True,72.17,71.4,-0.77,3.24,3.31,0.07,0.98,2.4,1.42,,,,23.62,22.9,-0.72,35747.0,33157.0,-2590.0
Yash Highvoltage,544310,/company/544310/,1122.95,3356.24,Aug 2026,Jun 2026,True,57.24,54.79,-2.45,0.62,2.17,1.55,9.5,8.99,-0.51,,,,32.64,34.06,1.42,5190.0,6341.0,1151.0
Fermenta Biotec.,FERMENTA,/company/FERMENTA/consolidated/,475.50,1397.07,Aug 2026,Jun 2026,True,64.08,64.09,0.01,0.13,0.37,0.24,0.04,0.04,0.0,,,,33.19,32.95,-0.24,14131.0,14777.0,646.0
Borosil Renew.,BORORENEW,/company/BORORENEW/,475.00,6993.44,Aug 2026,Jun 2026,True,58.78,56.01,-2.77,6.14,5.62,-0.52,2.62,3.33,0.71,,,,32.46,35.04,2.58,225375.0,224437.0,-938.0
Kody Technolab,KODYTECH,/company/KODYTECH/consolidated/,1533.00,2191.18,Aug 2026,Mar 2026,True,72.73,69.49,-3.24,0.09,0.15,0.06,0.15,0.17,0.02,,,,27.03,30.19,3.16,2938.0,2771.0,-167.0
Shukra Pharma.,SHUKRAPHAR,/company/SHUKRAPHAR/,56.79,2497.26,Aug 2026,Jun 2026,True,50.95,51.16,0.21,,,,0.11,0.11,0.0,,,,48.93,48.74,-0.19,28384.0,28384.0,0.0
Fischer Medical,FISCHER,/company/FISCHER/consolidated/,35.03,2442.31,Aug 2026,Jun 2026,True,62.15,63.09,0.94,5.48,5.57,0.09,1.35,1.26,-0.09,,,,31.01,30.09,-0.92,23950.0,23951.0,1.0
