name,ticker,url,cmp,market_cap,latest_quarter,prev_quarter,is_fresh,promoter_prev,promoter_latest,promoter_change,fii_prev,fii_latest,fii_change,dii_prev,dii_latest,dii_change,government_prev,government_latest,government_change,public_prev,public_latest,public_change,shareholders_prev,shareholders_latest,shareholders_change
360 ONE,360ONE,/company/360ONE/consolidated/,1071.40,43703.91,Jun 2026,Mar 2026,True,6.24,6.2,-0.04,63.33,58.55,-4.78,12.75,18.7,5.95,0.0,0.0,0.0,17.67,16.53,-1.14,74294.0,76687.0,2393.0
3B Blackbio,3BBLACKBIO,/company/3BBLACKBIO/consolidated/,1406.10,1206.80,Jun 2026,Mar 2026,True,40.94,40.95,0.01,2.57,2.5,-0.07,1.98,2.15,0.17,,,,54.5,54.4,-0.1,10616.0,11049.0,433.0
5paisa Capital,5PAISA,/company/5PAISA/consolidated/,311.15,1458.74,Jun 2026,Mar 2026,True,32.76,36.5,3.74,12.41,15.11,2.7,0.01,0.0,-0.01,,,,54.8,48.38,-6.42,52243.0,50145.0,-2098.0
63 Moons Tech.,63MOONS,/company/63MOONS/consolidated/,860.00,3962.74,Jun 2026,Mar 2026,True,45.63,45.63,0.0,1.31,1.61,0.3,0.0,0.0,0.0,,,,53.06,52.75,-0.31,45869.0,44996.0,-873.0
A B B,ABB,/company/ABB/,7065.90,149732.36,Jun 2026,Mar 2026,True,75.0,75.0,0.0,8.19,7.67,-0.52,9.28,9.89,0.61,,,,7.5,7.44,-0.06,181528.0,183577.0,2049.0
A B Lifestyle,ABLBL,/company/ABLBL/consolidated/,78.58,9590.88,Jun 2026,Mar 2026,True,46.6,46.6,0.0,12.78,12.7,-0.08,20.24,20.8,0.56,,,,19.87,19.42,-0.45,266973.0,262354.0,-4619.0
A B Real Estate,ABREL,/company/ABREL/consolidated/,1241.00,13861.42,Jun 2026,Mar 2026,True,50.21,50.21,0.0,9.04,9.26,0.22,16.4,16.63,0.23,0.01,0.0,-0.01,23.34,23.14,-0.2,96982.0,95594.0,-1388.0
A C J K Exports,AEROPLANE,/company/AEROPLANE/consolidated/,202.25,2094.33,Jun 2026,Mar 2026,True,78.78,78.78,0.0,3.5,1.89,-1.61,2.63,5.44,2.81,3.89,0.91,-2.98,11.2,12.98,1.78,106988.0,43063.0,-63925.0
A.K.Capital Serv,AKCAPIT,/company/AKCAPIT/consolidated/,1755.00,1158.30,Jun 2026,Mar 2026,True,72.16,72.24,0.08,,,,0.0,0.11,0.11,,,,27.84,27.65,-0.19,2946.0,2825.0,-121.0
Aadhar Hsg. Fin.,AADHARHFC,/company/AADHARHFC/consolidated/,445.00,19508.54,Jun 2026,Mar 2026,True,64.9,64.66,-0.24,6.13,5.8,-0.33,9.15,9.92,0.77,,,,19.83,19.61,-0.22,184772.0,162826.0,-21946.0
