Name,URL,CMP Rs.,P/E,Mar Cap Rs.Cr.,Qtr Profit Var %,Qtr Sales Var %,Debt / Eq,EPS 12M Rs.,NP Qtr Rs.Cr.,NP Prev Qtr Rs.Cr.,NP 2Qtr Bk Rs.Cr.,ROCE %
Tips Music,/company/TIPSMUSIC/,657.80,38.80,8408.76,92.94,32.41,0.02,16.96,59.06,58.66,53.19,122.19
Mobavenue AI Tech,/company/539682/consolidated/,1377.95,72.59,2130.26,752.53,1285.40,0.14,18.98,8.44,7.61,7.30,75.89
Valiant Commun.,/company/526775/consolidated/,1199.85,58.01,1402.87,92.89,50.37,0.03,21.13,8.14,6.04,5.27,39.73
Indo Thai Sec.,/company/INDOTHAI/consolidated/,229.45,37.98,2512.98,1114.73,555.38,0.09,12.08,26.18,17.00,14.41,34.58
Macfos,/company/543787/,1139.00,45.99,1179.83,101.43,63.40,0.37,24.76,9.85,5.63,5.12,33.76
Afcom Holdings,/company/544224/,923.95,21.75,2651.61,72.83,89.59,0.88,46.76,44.66,34.45,28.39,33.49
Cupid,/company/CUPID/,131.20,162.95,17641.95,213.94,116.07,0.13,0.81,36.26,32.87,24.12,33.46
Raghav Product.,/company/RPEL/consolidated/,987.65,82.76,4535.47,49.65,39.31,0.02,11.94,15.16,14.12,13.84,31.22
MSTC,/company/MSTCLTD/consolidated/,471.00,15.19,3315.84,-10.06,33.71,0.16,31.03,77.22,51.37,47.50,30.27
Silver Touch,/company/SILVERTUC/consolidated/,172.30,61.16,2184.92,43.54,17.35,0.19,2.82,13.22,11.02,7.46,28.93
Saint-Gob. Sekur,/company/515043/,126.40,25.15,1151.63,31.10,22.89,0.01,5.03,13.11,11.21,10.77,26.06
KMC Speciality,/company/524520/,119.35,41.65,1946.61,223.67,34.99,0.40,2.87,14.63,13.73,10.84,26.04
Axis Solution,/company/511144/,305.40,49.67,1443.33,10.47,18.14,0.56,6.15,15.72,5.87,5.15,23.07
Antelopus Selan,/company/ANTELOPUS/,917.20,35.99,3225.08,157.65,65.28,0.01,25.48,38.08,28.50,11.81,21.22
Borosil Scienti.,/company/BOROSCI/consolidated/,155.00,34.23,1378.68,213.84,10.57,0.02,3.89,27.25,8.70,2.84,12.08
Mufin Green,/company/MUFIN/,122.15,74.85,2116.02,184.36,59.50,2.43,1.63,11.09,7.01,6.06,10.73
Divgi Torq,/company/DIVGIITTS/,804.85,52.44,2461.47,189.35,84.85,0.00,15.35,15.48,11.77,10.75,10.21
SG Finserve,/company/SGFIN/,583.55,30.11,3845.31,77.68,94.88,1.85,19.56,42.27,32.47,28.40,9.32
Sanstar,/company/SANSTAR/,118.90,62.90,2166.87,271.20,-4.47,0.03,1.89,20.49,13.67,0.63,5.69
BF Investment,/company/BFINVEST/consolidated/,437.00,5.84,1645.74,3530.63,41.44,0.00,74.87,114.24,89.38,39.95,4.86
XPRO India,/company/XPROINDIA/consolidated/,1191.90,145.48,2797.43,97.41,-15.07,0.43,8.19,13.25,6.83,4.97,3.78
City Pulse Multi,/company/542727/consolidated/,2096.85,1711.85,3132.68,377.78,1255.00,0.05,1.22,1.29,0.99,0.55,2.59
Aurum Proptech,/company/AURUM/consolidated/,180.20,,1298.23,151.57,82.80,0.44,0.26,16.44,2.71,-8.41,1.84
KIOCL,/company/KIOCL/,385.65,1414.48,23437.93,244.77,-10.60,0.11,0.27,53.39,18.13,-17.16,1.38
One Mobikwik,/company/MOBIKWIK/consolidated/,194.05,,1527.75,114.40,7.82,0.51,-7.89,4.38,4.05,-28.62,-2.24
Spandana Sphoort,/company/SPANDANA/,254.45,,2030.66,101.34,-36.33,1.74,-70.36,5.49,-82.54,-218.07,-5.04
Astec Lifescienc,/company/ASTEC/consolidated/,793.95,,1769.14,51.77,32.70,1.15,-36.32,-7.75,-15.69,-24.42,-5.45
Exicom Tele-Sys.,/company/EXICOM/consolidated/,149.20,,2075.08,13.57,46.10,1.09,-19.71,-54.31,-67.87,-68.81,-14.66
Swiggy,/company/SWIGGY/consolidated/,252.95,,69822.14,25.99,44.74,0.14,-15.05,-800.00,-1065.00,-1092.00,-24.06
Orissa Minerals,/company/ORISSAMINE/,4038.30,,2422.98,157.94,-0.05,,-44.58,4.34,3.14,-2.79,-38.52
