ticker,name,peer_of,current_price,pe_ratio,market_cap,div_yield,net_profit_qtr,qtr_profit_var,sales_qtr,qtr_sales_var,roce,latest_quarter,results_pending
POWERINDIA,Hitachi Energy,544150;ATLANTAELE;GVT&D,32800.00,165.82,146261.19,,,119.97,,28.51,,,True
BHEL,B H E L,544150;ATLANTAELE;GVT&D,395.25,86.03,137663.11,,,155.82,,36.88,,Mar 2026,False
ABB,A B B,544150;ATLANTAELE;GVT&D,6413.50,89.20,135878.68,,,-25.23,,5.78,,Mar 2026,False
CGPOWER,CG Power & Ind,544150;ATLANTAELE;GVT&D,808.75,103.63,127418.62,,,33.67,,25.03,,Mar 2026,False
SIEMENS,Siemens,544150;ATLANTAELE;GVT&D,3535.10,77.01,125948.33,,,-10.62,,14.01,,Dec 2025,True
GVT&D,GE Vernova T&D,544150;ATLANTAELE;GVT&D,4426.80,607.88,113510.27,,,86.32,,42.04,,,True
ENRIN,Siemens Ener.Ind,544150;ATLANTAELE;GVT&D,3060.70,80.78,108913.10,,,52.21,,27.38,,,True
SUZLON,Suzlon Energy,GVT&D,53.25,22.43,72461.60,,,15.08,,42.40,,Dec 2025,True
WAAREEENER,Waaree Energies,544310;UTLSOLAR;WAAREERTL,2997.50,21.96,86209.22,,,70.64,,111.80,,Mar 2026,False
APARINDS,Apar Inds.,544310;UTLSOLAR;WAAREERTL,12154.00,49.25,48841.42,,,29.80,,16.18,,Dec 2025,True
PREMIERENE,Premier Energies,544310;UTLSOLAR;WAAREERTL,986.90,29.68,44811.89,,,64.44,,37.60,,Mar 2026,False
EMMVEE,Emmvee Photovol.,544310;UTLSOLAR;WAAREERTL,252.40,16.17,17484.95,,,89.43,,62.25,,Mar 2026,False
DIACABS,Diamond Power,544310;UTLSOLAR;WAAREERTL,191.82,96.12,10113.51,,,692.98,,54.21,,Dec 2025,True
WAAREERTL,Waaree Renewab.,544310;UTLSOLAR;WAAREERTL,933.80,20.35,9739.16,,,60.69,,131.31,,Mar 2026,False
GENUSPOWER,Genus Power,544310;UTLSOLAR;WAAREERTL,304.75,15.66,9276.95,,,41.08,,64.09,,Mar 2026,False
BSE,BSE,BSE;MCX,4120.70,67.54,167835.73,,,61.47,,84.67,,Mar 2026,False
MCX,Multi Comm. Exc.,BSE;MCX,3348.40,64.11,85368.88,,,291.09,,205.13,,Mar 2026,False
IEX,Indian Energy Ex,BSE;MCX,123.50,23.25,11014.16,,,10.69,,21.94,,Mar 2026,False
HINDZINC,Hindustan Zinc,HINDZINC,636.50,19.48,269089.22,,,67.60,,49.05,,Mar 2026,False
513496,Sizemasters Tech,HINDZINC,379.85,97.40,379.85,,,342.86,,50.62,,Dec 2025,True
ATLANTAELE,Atlanta Electric,ATLANTAELE,1646.10,62.71,12710.77,,,129.07,,81.69,,Mar 2026,False
HINDCOPPER,Hindustan Copper,HINDCOPPER,581.15,56.89,56188.74,,,137.35,,58.06,,Mar 2026,False
513119,Onix Solar,HINDCOPPER,754.10,67.71,2721.23,,,3910.94,,202.11,,,True
BHAGYANGR,Bhagyanagar Ind,HINDCOPPER,301.55,19.22,964.50,,,303.71,,61.83,,Mar 2026,False
513544,Mardia Samyoung,HINDCOPPER,67.71,241.27,538.03,,,2400.00,,,,,True
512024,N D Metal Inds.,HINDCOPPER,79.80,94.24,19.79,,,16.67,,-100.00,,,True
LTTS,L&T Technology,NETWEB,3549.50,27.88,37675.68,,,23.41,,8.34,,Mar 2026,False
IKS,Inventurus Knowl,NETWEB,1595.40,37.97,27400.02,,,39.36,,18.47,,Mar 2026,False
TATATECH,Tata Technolog.,NETWEB,629.40,41.68,25554.85,,,-8.66,,22.29,,Mar 2026,False
NETWEB,Netweb Technol.,NETWEB,3806.10,105.27,21666.83,,,65.67,,86.59,,,True
AFFLE,Affle 3i,NETWEB,1456.20,45.07,20500.68,,,15.95,,20.28,,Mar 2026,False
SAGILITY,Sagility,NETWEB,41.38,20.43,19375.95,,,41.17,,29.06,,Mar 2026,False
BBOX,Black Box,NETWEB,935.20,60.98,16573.90,,,0.13,,10.51,,Dec 2025,True
GROWW,Billionbrains,GROWW;INDOTHAI,183.82,55.38,115364.29,,,122.06,,87.93,,Mar 2026,False
MOTILALOFS,Motil.Oswal.Fin.,GROWW;INDOTHAI,834.30,26.89,50264.35,,,-241.64,,124.84,,Mar 2026,False
360ONE,360 ONE,GROWW;INDOTHAI,1104.90,36.94,44920.31,,,15.68,,35.91,,Mar 2026,False
ANGELONE,Angel One,GROWW;INDOTHAI,303.95,30.33,27751.85,,,83.50,,38.20,,Mar 2026,False
NUVAMA,Nuvama Wealth,GROWW;INDOTHAI,1439.60,25.20,26230.18,,,5.38,,13.34,,Mar 2026,False
IIFLCAPS,IIFL Capital,GROWW;INDOTHAI,346.05,19.20,10778.77,,,-10.32,,19.95,,Mar 2026,False
ARSSBL,Anand Rathi Shar,GROWW;INDOTHAI,519.65,24.86,3276.41,,,125.15,,28.25,,Mar 2026,False
544150,KP Green Engg.,544150,405.20,14.92,2026.00,,,66.44,,65.06,,Mar 2026,False
MOTHERSON,Samvardh. Mothe.,PRICOLLTD;SEDEMAC,128.75,38.54,135857.08,,,20.06,,13.53,,Dec 2025,True
BOSCHLTD,Bosch,PRICOLLTD;SEDEMAC,37155.00,47.48,109705.42,,,7.90,,9.40,,Dec 2025,True
BHARATFORG,Bharat Forge,PRICOLLTD;SEDEMAC,1891.00,76.61,90375.86,,,2.05,,17.53,,Mar 2026,False
SCHAEFFLER,Schaeffler India,PRICOLLTD;SEDEMAC,3974.20,49.69,62135.17,,,20.46,,18.81,,Mar 2026,False
UNOMINDA,Uno Minda,PRICOLLTD;SEDEMAC,1067.80,50.64,61624.14,,,22.39,,17.85,,Mar 2026,False
TIINDIA,Tube Investments,PRICOLLTD;SEDEMAC,2815.00,82.69,54457.42,,,81.73,,20.68,,Mar 2026,False
ENDURANCE,Endurance Tech.,PRICOLLTD;SEDEMAC,2526.70,36.66,35464.75,,,17.32,,37.88,,Mar 2026,False
SEDEMAC,Sedemac Mechatro,SEDEMAC,1972.80,84.20,8720.98,,,272.59,,59.91,,,True
UTLSOLAR,Fujiyama Power,UTLSOLAR,263.55,409.70,8095.77,,,,,,,,True
INDOTHAI,Indo Thai Sec.,INDOTHAI,269.05,44.47,2942.32,,,1114.73,,555.38,,Mar 2026,False
SUNPHARMA,Sun Pharma.Inds.,ACUTAAS;NEULANDLAB;SOLARA,1905.80,37.64,456827.45,,,18.73,,13.49,,Dec 2025,True
DIVISLAB,Divi's Lab.,ACUTAAS;NEULANDLAB;SOLARA,6835.00,71.62,181431.67,,,8.20,,12.29,,Dec 2025,True
TORNTPHARM,Torrent Pharma.,ACUTAAS;NEULANDLAB;SOLARA,4393.70,64.49,148687.59,,,27.63,,17.59,,Dec 2025,True
CIPLA,Cipla,ACUTAAS;NEULANDLAB;SOLARA,1426.20,28.25,115252.78,,,-54.61,,-2.80,,Mar 2026,False
DRREDDY,Dr Reddy's Labs,ACUTAAS;NEULANDLAB;SOLARA,1331.20,26.47,111088.76,,,-86.14,,-11.51,,Mar 2026,False
LUPIN,Lupin,ACUTAAS;NEULANDLAB;SOLARA,2252.40,17.88,103087.47,,,101.49,,31.89,,Mar 2026,False
MANKIND,Mankind Pharma,ACUTAAS;NEULANDLAB;SOLARA,2495.70,55.46,102992.53,,,29.05,,11.52,,Dec 2025,True
ACUTAAS,Acutaas Chemical,ACUTAAS,2799.10,64.33,22918.22,,,110.88,,40.28,,Mar 2026,False
CPPLUS,Aditya Infotech,543619;WINDMACHIN,2417.10,112.18,28471.82,,,138.82,,37.32,,Dec 2025,True
HONAUT,Honeywell Auto,543619;WINDMACHIN,28685.00,49.45,25355.88,,,-2.51,,7.14,,,True
KAYNES,Kaynes Tech,543619;WINDMACHIN,3118.20,57.14,20898.60,,,-21.47,,26.22,,Mar 2026,False
SYRMA,Syrma SGS Tech.,543619;WINDMACHIN,969.95,58.27,18706.36,,,55.84,,58.49,,Mar 2026,False
LMW,LMW,543619;WINDMACHIN,14658.00,129.21,15677.99,,,5.54,,-1.07,,Dec 2025,True
JYOTICNC,Jyoti CNC Auto.,543619;WINDMACHIN,681.65,43.74,15500.10,,,10.31,,28.12,,Dec 2025,True
TEGA,Tega Inds.,543619;WINDMACHIN,1556.00,57.93,11696.51,,,-63.67,,-1.36,,Dec 2025,True
