screen_stock_name,screen_stock_ticker,peer_name,peer_ticker,current_price,pe_ratio,market_cap,div_yield,net_profit_qtr,qtr_profit_var,sales_qtr,qtr_sales_var,roce,Debt / Eq,EPS 12M Rs.
GE Vernova T&D,GVT&D,Hitachi Energy,POWERINDIA,32800.00,165.82,146261.19,,,119.97,,28.51,,0.02,188.74
GE Vernova T&D,GVT&D,B H E L,BHEL,395.25,86.03,137663.11,,,155.82,,36.88,,0.31,4.60
GE Vernova T&D,GVT&D,A B B,ABB,6413.50,89.20,135878.68,,,-25.23,,5.78,,0.01,140.50
GE Vernova T&D,GVT&D,CG Power & Ind,CGPOWER,808.75,103.63,127418.62,,,33.67,,25.03,,0.01,7.66
GE Vernova T&D,GVT&D,Siemens,SIEMENS,3535.10,77.01,125948.33,,,-10.62,,14.01,,0.01,49.62
GE Vernova T&D,GVT&D,GE Vernova T&D,GVT&D,4426.80,607.88,113510.27,,,,,,,0.89,7.81
GE Vernova T&D,GVT&D,Siemens Ener.Ind,ENRIN,3060.70,80.78,108913.10,,,52.21,,27.38,,0.04,36.78
GE Vernova T&D,GVT&D,Suzlon Energy,SUZLON,53.25,22.43,72461.60,,,15.08,,42.40,,0.05,2.38
Waaree Renewab.,WAAREERTL,Waaree Energies,WAAREEENER,2997.50,21.96,86209.22,,,70.64,,111.80,,0.22,129.02
Waaree Renewab.,WAAREERTL,Apar Inds.,APARINDS,12154.00,49.25,48841.42,,,29.80,,16.18,,0.14,242.36
Waaree Renewab.,WAAREERTL,Premier Energies,PREMIERENE,986.90,29.68,44811.89,,,64.44,,37.60,,0.86,33.33
Waaree Renewab.,WAAREERTL,Emmvee Photovol.,EMMVEE,252.40,16.17,17484.95,,,89.43,,62.25,,0.10,15.62
Waaree Renewab.,WAAREERTL,Diamond Power,DIACABS,191.82,96.12,10113.51,,,692.98,,54.21,,,2.00
Waaree Renewab.,WAAREERTL,Waaree Renewab.,WAAREERTL,933.80,20.35,9739.16,,,60.69,,131.31,,0.16,45.88
Waaree Renewab.,WAAREERTL,Genus Power,GENUSPOWER,304.75,15.66,9276.95,,,41.08,,64.09,,1.04,19.47
Multi Comm. Exc.,MCX,BSE,BSE,4120.70,67.54,167835.73,,,61.47,,84.67,,0.00,61.31
Multi Comm. Exc.,MCX,Multi Comm. Exc.,MCX,3348.40,64.11,85368.88,,,291.09,,205.13,,0.00,52.22
Multi Comm. Exc.,MCX,Indian Energy Ex,IEX,123.50,23.25,11014.16,,,10.69,,21.94,,0.01,5.31
Hindustan Zinc,HINDZINC,Hindustan Zinc,HINDZINC,636.50,19.48,269089.22,,,67.60,,49.05,,0.39,32.74
Hindustan Zinc,HINDZINC,Sizemasters Tech,513496,379.85,97.40,379.85,,,342.86,,50.62,,0.20,3.90
BSE,BSE,BSE,BSE,4120.70,67.54,167835.73,,,61.47,,84.67,,0.00,61.31
BSE,BSE,Multi Comm. Exc.,MCX,3348.40,64.11,85368.88,,,291.09,,205.13,,0.00,52.22
BSE,BSE,Indian Energy Ex,IEX,123.50,23.25,11014.16,,,10.69,,21.94,,0.01,5.31
Atlanta Electric,ATLANTAELE,Hitachi Energy,POWERINDIA,32800.00,165.82,146261.19,,,119.97,,28.51,,0.02,188.74
Atlanta Electric,ATLANTAELE,B H E L,BHEL,395.25,86.03,137663.11,,,155.82,,36.88,,0.31,4.60
Atlanta Electric,ATLANTAELE,A B B,ABB,6413.50,89.20,135878.68,,,-25.23,,5.78,,0.01,140.50
Atlanta Electric,ATLANTAELE,CG Power & Ind,CGPOWER,808.75,103.63,127418.62,,,33.67,,25.03,,0.01,7.66
Atlanta Electric,ATLANTAELE,Siemens,SIEMENS,3535.10,77.01,125948.33,,,-10.62,,14.01,,0.01,49.62
Atlanta Electric,ATLANTAELE,GE Vernova T&D,GVT&D,4426.80,88.73,113510.27,,,86.32,,42.04,,0.01,48.17
Atlanta Electric,ATLANTAELE,Siemens Ener.Ind,ENRIN,3060.70,80.78,108913.10,,,52.21,,27.38,,0.04,36.78
Atlanta Electric,ATLANTAELE,Atlanta Electric,ATLANTAELE,1646.10,62.71,12710.77,,,129.07,,81.69,,0.05,26.24
Hindustan Copper,HINDCOPPER,Hindustan Copper,HINDCOPPER,581.15,56.89,56188.74,,,137.35,,58.06,,0.03,9.50
Hindustan Copper,HINDCOPPER,Onix Solar,513119,754.10,67.71,2721.23,,,3910.94,,202.11,,0.00,10.89
Hindustan Copper,HINDCOPPER,Bhagyanagar Ind,BHAGYANGR,301.55,19.22,964.50,,,303.71,,61.83,,1.01,15.68
Hindustan Copper,HINDCOPPER,Mardia Samyoung,513544,67.71,241.27,538.03,,,2400.00,,,,0.00,0.33
Hindustan Copper,HINDCOPPER,N D Metal Inds.,512024,79.80,94.24,19.79,,,16.67,,-100.00,,0.16,0.85
Netweb Technol.,NETWEB,L&T Technology,LTTS,3549.50,27.88,37675.68,,,23.41,,8.34,,0.09,120.68
Netweb Technol.,NETWEB,Inventurus Knowl,IKS,1595.40,37.97,27400.02,,,39.36,,18.47,,0.34,42.03
Netweb Technol.,NETWEB,Tata Technolog.,TATATECH,629.40,41.68,25554.85,,,-8.66,,22.29,,0.24,13.46
Netweb Technol.,NETWEB,Netweb Technol.,NETWEB,3806.10,105.27,21666.83,,,65.67,,86.59,,0.39,36.15
Netweb Technol.,NETWEB,Affle 3i,AFFLE,1456.20,45.07,20500.68,,,15.95,,20.28,,0.00,32.31
Netweb Technol.,NETWEB,Sagility,SAGILITY,41.38,20.43,19375.95,,,41.17,,29.06,,0.11,1.98
Netweb Technol.,NETWEB,Black Box,BBOX,935.20,60.98,16573.90,,,0.13,,10.51,,1.15,12.55
Billionbrains,GROWW,Billionbrains,GROWW,183.82,55.38,115364.29,,,122.06,,87.93,,0.03,3.32
Billionbrains,GROWW,Motil.Oswal.Fin.,MOTILALOFS,834.30,26.89,50264.35,,,-241.64,,124.84,,1.65,31.06
Billionbrains,GROWW,360 ONE,360ONE,1104.90,36.94,44920.31,,,15.68,,35.91,,1.62,29.94
Billionbrains,GROWW,Angel One,ANGELONE,303.95,30.33,27751.85,,,83.50,,38.20,,1.30,10.05
Billionbrains,GROWW,Nuvama Wealth,NUVAMA,1439.60,25.20,26230.18,,,5.38,,13.34,,2.80,57.19
Billionbrains,GROWW,IIFL Capital,IIFLCAPS,346.05,19.20,10778.77,,,-10.32,,19.95,,0.59,18.02
Billionbrains,GROWW,Anand Rathi Shar,ARSSBL,519.65,24.86,3276.41,,,125.15,,28.25,,0.62,21.02
KP Green Engg.,544150,Hitachi Energy,POWERINDIA,32800.00,165.82,146261.19,,,119.97,,28.51,,0.02,188.74
KP Green Engg.,544150,B H E L,BHEL,395.25,86.03,137663.11,,,155.82,,36.88,,0.31,4.60
KP Green Engg.,544150,A B B,ABB,6413.50,89.20,135878.68,,,-25.23,,5.78,,0.01,140.50
KP Green Engg.,544150,CG Power & Ind,CGPOWER,808.75,103.63,127418.62,,,33.67,,25.03,,0.01,7.66
KP Green Engg.,544150,Siemens,SIEMENS,3535.10,77.01,125948.33,,,-10.62,,14.01,,0.01,49.62
KP Green Engg.,544150,GE Vernova T&D,GVT&D,4426.80,88.73,113510.27,,,86.32,,42.04,,0.01,48.17
KP Green Engg.,544150,Siemens Ener.Ind,ENRIN,3060.70,80.78,108913.10,,,52.21,,27.38,,0.04,36.78
KP Green Engg.,544150,KP Green Engg.,544150,405.20,14.92,2026.00,,,66.44,,65.06,,0.76,27.15
Sedemac Mechatro,SEDEMAC,Samvardh. Mothe.,MOTHERSON,128.75,38.54,135857.08,,,20.06,,13.53,,0.53,3.23
Sedemac Mechatro,SEDEMAC,Bosch,BOSCHLTD,37155.00,47.48,109705.42,,,7.90,,9.40,,0.01,934.24
Sedemac Mechatro,SEDEMAC,Bharat Forge,BHARATFORG,1891.00,76.61,90375.86,,,2.05,,17.53,,0.76,22.58
Sedemac Mechatro,SEDEMAC,Schaeffler India,SCHAEFFLER,3974.20,49.69,62135.17,,,20.46,,18.81,,0.01,80.01
Sedemac Mechatro,SEDEMAC,Uno Minda,UNOMINDA,1067.80,50.64,61624.14,,,22.39,,17.85,,0.40,20.73
Sedemac Mechatro,SEDEMAC,Tube Investments,TIINDIA,2815.00,82.69,54457.42,,,81.73,,20.68,,0.10,32.90
Sedemac Mechatro,SEDEMAC,Endurance Tech.,ENDURANCE,2526.70,36.66,35464.75,,,17.32,,37.88,,0.19,67.66
Sedemac Mechatro,SEDEMAC,Sedemac Mechatro,SEDEMAC,1972.80,84.20,8720.98,,,272.59,,59.91,,0.16,23.45
Fujiyama Power,UTLSOLAR,Waaree Energies,WAAREEENER,2997.50,21.96,86209.22,,,70.64,,111.80,,0.22,129.02
Fujiyama Power,UTLSOLAR,Apar Inds.,APARINDS,12154.00,49.25,48841.42,,,29.80,,16.18,,0.14,242.36
Fujiyama Power,UTLSOLAR,Premier Energies,PREMIERENE,986.90,29.68,44811.89,,,64.44,,37.60,,0.86,33.33
Fujiyama Power,UTLSOLAR,Emmvee Photovol.,EMMVEE,252.40,16.17,17484.95,,,89.43,,62.25,,0.10,15.62
Fujiyama Power,UTLSOLAR,Diamond Power,DIACABS,191.82,96.12,10113.51,,,692.98,,54.21,,,2.00
Fujiyama Power,UTLSOLAR,Waaree Renewab.,WAAREERTL,933.80,20.35,9739.16,,,60.69,,131.31,,0.16,45.88
Fujiyama Power,UTLSOLAR,Genus Power,GENUSPOWER,304.75,15.66,9276.95,,,41.08,,64.09,,1.04,19.47
Fujiyama Power,UTLSOLAR,Fujiyama Power,UTLSOLAR,263.55,409.70,8095.77,,,,,,,3.23,14.48
Indo Thai Sec.,INDOTHAI,Billionbrains,GROWW,183.82,55.38,115364.29,,,122.06,,87.93,,0.03,3.32
Indo Thai Sec.,INDOTHAI,Motil.Oswal.Fin.,MOTILALOFS,834.30,26.89,50264.35,,,-241.64,,124.84,,1.65,31.06
Indo Thai Sec.,INDOTHAI,360 ONE,360ONE,1104.90,36.94,44920.31,,,15.68,,35.91,,1.62,29.94
Indo Thai Sec.,INDOTHAI,Angel One,ANGELONE,303.95,30.33,27751.85,,,83.50,,38.20,,1.30,10.05
Indo Thai Sec.,INDOTHAI,Nuvama Wealth,NUVAMA,1439.60,25.20,26230.18,,,5.38,,13.34,,2.80,57.19
Indo Thai Sec.,INDOTHAI,IIFL Capital,IIFLCAPS,346.05,19.20,10778.77,,,-10.32,,19.95,,0.59,18.02
Indo Thai Sec.,INDOTHAI,Anand Rathi Shar,ARSSBL,519.65,24.86,3276.41,,,125.15,,28.25,,0.62,21.02
Indo Thai Sec.,INDOTHAI,Indo Thai Sec.,INDOTHAI,269.05,44.47,2942.32,,,1114.73,,555.38,,0.09,12.08
Acutaas Chemical,ACUTAAS,Sun Pharma.Inds.,SUNPHARMA,1905.80,37.64,456827.45,,,18.73,,13.49,,0.07,45.49
Acutaas Chemical,ACUTAAS,Divi's Lab.,DIVISLAB,6835.00,71.62,181431.67,,,8.20,,12.29,,0.01,93.38
Acutaas Chemical,ACUTAAS,Torrent Pharma.,TORNTPHARM,4393.70,64.49,148687.59,,,27.63,,17.59,,0.33,67.13
Acutaas Chemical,ACUTAAS,Cipla,CIPLA,1426.20,28.25,115252.78,,,-54.61,,-2.80,,0.02,48.02
Acutaas Chemical,ACUTAAS,Dr Reddy's Labs,DRREDDY,1331.20,26.47,111088.76,,,-86.14,,-11.51,,0.20,50.27
Acutaas Chemical,ACUTAAS,Lupin,LUPIN,2252.40,17.88,103087.47,,,101.49,,31.89,,0.29,116.65
Acutaas Chemical,ACUTAAS,Mankind Pharma,MANKIND,2495.70,55.46,102992.53,,,29.05,,11.52,,0.55,43.11
Acutaas Chemical,ACUTAAS,Acutaas Chemical,ACUTAAS,2799.10,64.33,22918.22,,,110.88,,40.28,,0.02,43.51
Concord Control,543619,Aditya Infotech,CPPLUS,2417.10,112.18,28471.82,,,138.82,,37.32,,0.08,22.13
Concord Control,543619,Honeywell Auto,HONAUT,28685.00,49.45,25355.88,,,-2.51,,7.14,,0.02,571.40
Concord Control,543619,Kaynes Tech,KAYNES,3118.20,57.14,20898.60,,,-21.47,,26.22,,0.19,54.28
Concord Control,543619,Syrma SGS Tech.,SYRMA,969.95,58.27,18706.36,,,55.84,,58.49,,0.12,16.48
Concord Control,543619,LMW,LMW,14658.00,129.21,15677.99,,,5.54,,-1.07,,0.00,107.53
Concord Control,543619,Jyoti CNC Auto.,JYOTICNC,681.65,43.74,15500.10,,,10.31,,28.12,,0.40,15.58
Concord Control,543619,Tega Inds.,TEGA,1556.00,57.93,11696.51,,,-63.67,,-1.36,,0.21,30.01
Concord Control,543619,Concord Control,543619,2369.05,58.02,2459.88,,,73.02,,72.57,,0.26,40.83
Raymond Realty,RAYMONDREL,DLF,DLF,573.15,33.50,141809.94,,,-3.22,,-42.00,,0.01,17.83
Raymond Realty,RAYMONDREL,Lodha Developers,LODHA,857.75,25.00,85694.17,,,9.35,,11.58,,0.42,34.32
Raymond Realty,RAYMONDREL,Phoenix Mills,PHOENIXLTD,1724.60,49.68,61669.81,,,50.04,,21.34,,0.48,34.22
Raymond Realty,RAYMONDREL,Oberoi Realty,OBEROIRLTY,1600.70,23.06,58225.21,,,62.36,,52.14,,0.16,68.96
Raymond Realty,RAYMONDREL,Prestige Estates,PRESTIGE,1342.70,59.54,57778.18,,,1157.63,,134.06,,0.92,22.53
Raymond Realty,RAYMONDREL,Godrej Propert.,GODREJPROP,1686.30,27.22,50822.31,,,70.53,,62.99,,0.83,61.43
Raymond Realty,RAYMONDREL,Anant Raj,ANANTRAJ,476.25,30.89,17140.89,,,23.57,,19.64,,0.12,15.42
Raymond Realty,RAYMONDREL,Raymond Realty,RAYMONDREL,577.05,12.61,3841.98,,,6613.33,,888.24,,0.65,45.75
Yash Highvoltage,544310,Waaree Energies,WAAREEENER,2997.50,21.96,86209.22,,,70.64,,111.80,,0.22,129.02
Yash Highvoltage,544310,Apar Inds.,APARINDS,12154.00,49.25,48841.42,,,29.80,,16.18,,0.14,242.36
