name,url,latest_quarter,is_fresh,fii_prev,fii_latest,fii_change,dii_prev,dii_latest,dii_change
Pine Labs,/company/PINELABS/consolidated/,Jun 2026,True,4.8,9.49,4.69,11.81,24.82,13.01
Lenskart Solut.,/company/LENSKART/consolidated/,Jun 2026,True,4.26,12.76,8.5,15.48,23.56,8.08
Gujarat Energy,/company/GUJENERGY/consolidated/,Jun 2026,True,3.98,10.85,6.87,14.76,24.18,9.42
ACME Solar Hold.,/company/ACMESOLAR/consolidated/,Jun 2026,True,3.6,4.39,0.79,7.05,19.1,12.05
GMR Urban,/company/GMRP&UI/consolidated/,Jun 2026,True,3.43,16.0,12.57,5.22,5.47,0.25
JSW Infrast,/company/JSWINFRA/consolidated/,Jun 2026,True,6.92,11.21,4.29,2.43,9.19,6.76
HFCL,/company/HFCL/consolidated/,Jun 2026,True,7.08,15.74,8.66,8.57,10.92,2.35
Billionbrains,/company/GROWW/consolidated/,Jun 2026,True,2.51,6.89,4.38,5.92,10.08,4.16
NRB Bearings,/company/NRBBEARING/consolidated/,Jun 2026,True,14.69,18.92,4.23,10.06,13.85,3.79
Afcom Holdings,/company/544224/,Jun 2026,True,0.05,0.68,0.63,0.85,7.96,7.11
Corona Remedies,/company/CORONA/,Jun 2026,True,2.25,3.63,1.38,7.02,12.9,5.88
Craftsman Auto,/company/CRAFTSMAN/consolidated/,Jun 2026,True,15.19,17.28,2.09,28.29,32.9,4.61
Premier Energies,/company/PREMIERENE/consolidated/,Jun 2026,True,5.72,7.92,2.2,13.69,17.97,4.28
Central Bank,/company/CENTRALBK/consolidated/,Jun 2026,True,0.75,0.93,0.18,4.82,10.95,6.13
NHPC Ltd,/company/NHPC/consolidated/,Jun 2026,True,10.34,12.29,1.95,10.78,14.54,3.76
Shaily Engineer.,/company/SHAILY/,Jun 2026,True,16.73,18.18,1.45,10.61,14.84,4.23
TIL,/company/TIL/consolidated/,Jun 2026,True,0.03,2.62,2.59,0.73,3.8,3.07
Poonawalla Fin,/company/POONAWALLA/consolidated/,Jun 2026,True,10.21,10.96,0.75,12.14,16.74,4.6
Tanfac Inds.,/company/506854/,Jun 2026,True,0.03,1.53,1.5,0.33,4.16,3.83
Ola Electric,/company/OLAELEC/consolidated/,Jun 2026,True,4.0,4.11,0.11,7.01,12.16,5.15
Paras Defence,/company/PARAS/consolidated/,Jun 2026,True,5.06,8.29,3.23,1.24,3.04,1.8
Meesho,/company/MEESHO/consolidated/,Jun 2026,True,4.17,5.19,1.02,5.56,9.14,3.58
General Insuranc,/company/GICRE/consolidated/,Jun 2026,True,2.05,2.43,0.38,13.55,17.73,4.18
