name,ticker,url,cmp,market_cap,latest_quarter,prev_quarter,is_target,promoter_prev,promoter_latest,promoter_change,fii_prev,fii_latest,fii_change,dii_prev,dii_latest,dii_change,government_prev,government_latest,government_change,public_prev,public_latest,public_change,shareholders_prev,shareholders_latest,shareholders_change
SPARC,SPARC,/company/SPARC/,197.96,6424.23,Jun 2026,Mar 2026,,65.67,65.68,0.01,2.04,3.9,1.86,0.88,0.09,-0.79,,,,31.41,30.34,-1.07,140625.0,141957.0,1332.0
Tips Music,TIPSMUSIC,/company/TIPSMUSIC/,661.80,8459.89,Jun 2026,Mar 2026,,64.15,64.15,0.0,7.48,7.99,0.51,4.94,5.36,0.42,,,,23.42,22.49,-0.93,62106.0,62003.0,-103.0
ICICI AMC,ICICIAMC,/company/ICICIAMC/,3151.20,155750.74,Jun 2026,Mar 2026,,87.59,87.59,0.0,2.4,2.96,0.56,7.18,6.8,-0.38,,,,2.82,2.65,-0.17,624271.0,590748.0,-33523.0
Colgate-Palmoliv,COLPAL,/company/COLPAL/,1869.00,50834.11,Jun 2026,Mar 2026,,51.0,51.0,0.0,13.6,13.6,0.0,15.25,15.54,0.29,0.28,0.28,0.0,19.87,19.57,-0.3,333741.0,326817.0,-6924.0
Sanofi Consumer,SANOFICONR,/company/SANOFICONR/,3993.00,9196.13,Jun 2026,Mar 2026,,71.27,71.27,0.0,2.76,2.6,-0.16,17.57,17.85,0.28,,,,8.41,8.28,-0.13,48418.0,47511.0,-907.0
One Global Serv,ONEGLOBAL,/company/ONEGLOBAL/,547.90,1070.76,Jun 2026,Mar 2026,,68.4,68.4,0.0,5.44,7.72,2.28,0.01,0.01,0.0,,,,26.14,23.87,-2.27,8461.0,9204.0,743.0
Waaree Renewab.,WAAREERTL,/company/WAAREERTL/,816.95,8527.26,Jun 2026,Mar 2026,,74.32,74.32,0.0,1.85,1.98,0.13,0.09,0.09,0.0,,,,23.73,23.61,-0.12,308307.0,306445.0,-1862.0
Nestle India,NESTLEIND,/company/NESTLEIND/,1363.90,263002.79,Jun 2026,Mar 2026,,62.76,62.76,0.0,9.74,10.3,0.56,12.4,11.89,-0.51,,,,15.09,15.04,-0.05,492124.0,479696.0,-12428.0
Timex Group,TIMEX,/company/TIMEX/,703.80,7104.86,Jun 2026,Mar 2026,,51.0,51.0,0.0,1.32,2.5,1.18,0.51,1.37,0.86,,,,47.17,45.11,-2.06,59586.0,63477.0,3891.0
Mobavenue AI Tech,539682,/company/539682/consolidated/,283.05,2187.91,Jun 2026,Mar 2026,,65.6,65.6,0.0,,,,0.0,0.04,0.04,,,,34.4,34.35,-0.05,1237.0,4323.0,3086.0
Multi Comm. Exc.,MCX,/company/MCX/consolidated/,3262.60,83193.64,Jun 2026,Mar 2026,,,,,26.07,29.85,3.78,54.35,50.8,-3.55,0.01,0.01,0.0,19.38,19.15,-0.23,360169.0,432684.0,72515.0
International Gemological Instit,IGIL,/company/IGIL/consolidated/,326.95,14129.46,Jun 2026,Mar 2026,,76.55,76.55,0.0,8.6,9.49,0.89,6.38,5.51,-0.87,,,,8.46,8.44,-0.02,187343.0,172894.0,-14449.0
Esab India,ESABINDIA,/company/ESABINDIA/,5654.50,8703.98,Jun 2026,Mar 2026,,73.72,73.72,0.0,1.56,1.62,0.06,12.88,12.87,-0.01,,,,11.84,11.78,-0.06,19837.0,20083.0,246.0
Page Industries,PAGEIND,/company/PAGEIND/,37150.00,41436.64,Jun 2026,Mar 2026,,42.89,42.89,0.0,19.0,18.91,-0.09,32.5,32.93,0.43,0.71,0.71,0.0,4.9,4.56,-0.34,57225.0,52623.0,-4602.0
Glaxosmi. Pharma,GLAXO,/company/GLAXO/consolidated/,2873.60,48680.52,Jun 2026,Mar 2026,,75.0,75.0,0.0,4.62,4.79,0.17,7.68,7.81,0.13,0.0,0.0,0.0,12.69,12.42,-0.27,121763.0,126087.0,4324.0
BSE,BSE,/company/BSE/consolidated/,3235.00,131950.50,Jun 2026,Mar 2026,,,,,19.42,21.32,1.9,25.09,24.15,-0.94,0.09,0.09,0.0,55.4,54.45,-0.95,975435.0,999275.0,23840.0
Anand Rathi Wea.,ANANDRATHI,/company/ANANDRATHI/,2179.00,36180.39,Jun 2026,Mar 2026,,43.11,41.37,-1.74,5.78,6.37,0.59,9.1,10.4,1.3,0.0,0.0,0.0,42.01,41.86,-0.15,64931.0,80729.0,15798.0
Ingersoll-Rand,INGERRAND,/company/INGERRAND/,4146.70,13090.30,Jun 2026,Mar 2026,,75.0,75.0,0.0,1.3,1.28,-0.02,8.21,8.96,0.75,,,,15.49,14.75,-0.74,37773.0,37829.0,56.0
